ID,metric,condition,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
6,centrality,reward,0.017245796,0.010977852,0.006679589,0.009052209,0.009115109,0.010538152,0.009052209,0.005063207,0.014560522,0.027345746,0.008523891,0.003113047,0.021182497,0.01349838,0.011520639,0.006408489,0.009052209,0.009052209,0.019232287,0.00698834,0.01605728,0.005591761,0.004594936,0.011425094,0.01043123,0.008905112,0.00775662,0.009029893,0.010584766,0.008459054,0.009014746,0.007391696,0.015310653,0.017340439,0.013110313,0.01082452,0.008201636
7,centrality,reward,0.003120179,0.001900377,0.003127529,0.003128505,0.004058689,0.004058689,0.002153453,0.003339703,0.004058689,0.001872702,0.002857171,0.004058689,0.002308881,0.001982692,0.003339703,0.004058689,0.004058689,0.004058689,0.003259552,0.003517542,0.001019646,0.001564797,0.0021651,0.00088961,0.003006799,0.002489569,0.004058689,0.003108058,0.002628428,0.003593353,0.003819027,0.003658183,0.00285694,0.002145786,0.003388547,0.001292221,0.002555364
9,centrality,reward,0.000237417,0.004146733,0.002429418,0.004574084,0.004141572,0.000862865,0.002690975,0.001843047,0.002429418,0.004574084,0.004574084,0.001843047,0.002192001,0.001928238,0.004574084,0.000862865,0.002429418,0.004574084,0.002258463,0.000242578,0.002192001,0.003987713,0.002690975,0.002690975,0.002690975,0.002690975,0.004574084,0.001996906,0.002229543,0.003501751,0.00319284,0.002426665,0.003096363,0.002060119,0.001250521,0.003089857,0.002988235
10,centrality,reward,0.004320391,0.005047796,0.004182577,0.006620932,0.004182577,0.002865421,0.00820407,0.005259691,0.000508627,0.004068617,0.004182577,0.002797287,0.001674763,0.006411779,0.002141929,0.000551686,0.001439855,0.00820407,0.000951628,0.004182577,0.004182577,0.004182577,0.00783111,0.001409596,0.00412312,0.00489464,0.00820407,0.004182577,0.005707987,0.005111859,0.002292064,0.003281762,0.003398751,0.004043271,0.002567102,0.004182577,0.005406838
11,centrality,reward,0,0.001701488,0,0,0.049911817,0,0.007573599,0.029653371,0,0,0.015189029,0.009507982,0.001313707,0.003877809,0.009558857,0.009558857,0,0,0.001313707,0.005630172,0.027107358,0.033724506,0.140276082,0.003015195,0.003015195,0.10944354,0.003015195,0,0.009732115,0,0.023009843,0.008232337,0.028114684,0.002595758,0.00347194,0.030415932,0.036576618
12,centrality,reward,0.000996288,0.000460589,0.001364623,0.001364623,0.001364623,0.001136703,0.001364623,0.001364623,0.001364623,0.001364623,0.000984756,0.001136703,0.001131954,0.001364623,0.000984756,0.001364623,0.001364623,0.001364623,0.00034188,0.001364623,0.001364623,0.000698006,0.000465337,0.000698006,0.001364623,0.001364623,0.001136703,0.000698006,0.001046531,0.001364623,0.001238001,0.001086054,0.001364623,0.001248289,0.000853252,0.001031314,0.000749513
13,centrality,reward,0.000997151,0.003500872,0.006018222,0.019432277,0.006018222,0.013722796,0.006018222,0.009528996,0.006018222,0.011813456,0.012224709,0.023190296,0.00339152,0.022001515,0.024740352,0.011741512,0.003361525,0.00464027,0.003624148,0.001092265,0.000758901,0.005724572,0.002905928,0.003361525,0.006018222,0.002902519,0.003361525,0.015508494,0.00501131,0.008363074,0.014166695,0.016379267,0.006688105,0.012696517,0.002358206,0.003241737,0.006284368
14,centrality,reward,0.002106765,0.000727245,0.003897591,0.013173658,0.018428843,0.013607021,0.013301962,0.013893799,0.008700711,0.012093055,0.001763668,0.000828282,0.015854369,0.014395617,0.014903569,0.005108949,0.011081664,0.011081664,0.010156977,0.008116945,0.007649618,0.000653877,0.003472171,0.0084314,0.008700711,0.004437639,0.005566902,0.010030571,0.007507443,0.009808644,0.012813787,0.005399657,0.008483029,0.015124993,0.009136961,0.004151747,0.006875261
15,centrality,reward,0.001536801,0.005431584,0.00687296,0.005521427,0.00687296,0.004369217,0.003758043,0.005431584,0.00687296,0.001633787,0.004964233,0.003429586,0.00402625,0.002410922,0.004206055,0.003038496,0.001742446,0.003957171,0.0019945,0.005130822,0.00521653,0.002708224,0.005628542,0.004853545,0.004881959,0.006129835,0.00687296,0.003013723,0.004039503,0.004523501,0.004705837,0.004254345,0.004879635,0.003218586,0.003562661,0.003962377,0.005092192
16,centrality,reward,0.001121253,0.004440115,0.001142979,0.004440115,0.001142979,0.002929492,0.002343122,0.004440115,0.004440115,0.002552252,0.004440115,0.004440115,0.002653603,0.0018393,0.002049125,0.00088961,0.002653603,0.004440115,0.003853745,0.001629564,0.001935556,0.002343122,0.001914607,0.002929492,0.002276363,0.002653603,0.003397791,0.004440115,0.003086151,0.003169203,0.001360571,0.003936574,0.002980583,0.002246451,0.002741654,0.002139339,0.003170501
