ID,sweet_level,module,clustering,centrality
34,4,4,0.564152514,0.0617279
35,3,4,0.769925214,0.007244105
36,1,4,0.583116883,0.027766126
37,2,4,0.592857143,0.023935607
38,4,4,0.853363005,0.010078468
39,2,4,0.901336899,0.004518535
40,1,4,0.805528974,0.006892535
41,4,4,0.333333333,0.015669516
42,2,4,0.655880231,0.024801656
43,2,4,0.351406927,0.082384257
44,4,4,0.57879902,0.043546544
45,3,4,0.682525808,0.013380136
46,4,4,0.703030303,0.053664065
47,4,4,0.413888889,0.045139353
48,2,4,0.498792017,0.02707844
50,3,4,0.759782115,0.024890964
52,3,4,0.531709957,0.030302491
53,4,4,0.410119048,0.107647962
54,3,4,0.542046696,0.039857722
55,1,4,0.530753968,0.032136133
56,2,4,0.041666667,0.018767241
57,3,4,0.65534188,0.059182732
58,4,4,0.425441225,0.019737824
59,4,4,0.571266234,0.032360167
60,4,4,0.648517126,0.015110889
61,4,4,0.83974359,0.03749738
62,2,4,0.130952381,0.057675029
63,2,4,0.516566767,0.026646589
64,1,4,0.896809712,0.005549738
66,4,4,0.229761905,0.101980684
67,3,4,0.606547619,0.020373327
68,3,4,0.659899749,0.045125414
69,3,4,0.588458111,0.084849127
70,2,4,0.788467492,0.025134255
71,3,4,0.6375,0.026191632
72,2,4,0.333333333,0.05319554
73,4,4,0.763988095,0.014204117
74,4,4,0.502777778,0.036663851
75,1,4,0.870308123,0.006507796
76,2,4,0.166666667,0.041751491
77,1,4,0.990384616,0.000249288
78,4,4,0.528258145,0.030139716
79,3,4,0.58464591,0.059555859
80,4,4,0.304761905,0.038502725
81,3,4,0.243181818,0.048810696
82,2,4,0.720367094,0.021871753
83,3,4,0.807723979,0.024605818
84,4,4,0.750292398,0.007593522
85,3,4,0.585750361,0.077422147
86,4,4,0.618452381,0.026275286
87,4,4,0.656720326,0.029642898
88,1,4,0.650582751,0.017165559
89,1,4,0.5,0
90,2,4,0.267803031,0.056791244
